"match_id","player1_id","player2_id","p1_winrate","p1_matches_played","p1_avg_svpt","p1_avg_ace","p1_avg_df","p1_avg_duration","p2_winrate","p2_matches_played","p2_avg_svpt","p2_avg_ace","p2_avg_df","p2_avg_duration","surface","best_of","match_weekday","match_month","season_phase","y"
148,103151,102456,0,1,118,3,11,155,0,2,36,1.5,2,47.5,"Hard",5,"Mo",1,"early","1"
149,101889,101733,0,1,116,1,7,144,0,1,63,3,5,73,"Hard",5,"Mo",1,"early","1"
150,102776,101543,0.333333333333333,3,74,4.33333333333333,2.33333333333333,92.6666666666667,0,2,94.5,6,5,118,"Hard",5,"Mo",1,"early","1"
151,102562,103182,0.333333333333333,3,83.3333333333333,4,3.66666666666667,107.666666666667,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","1"
152,102247,103171,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","0"
153,103174,102882,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","0"
154,101990,102148,NA,0,NA,NA,NA,NA,1,5,62.2,2.8,0.8,95.6,"Hard",5,"Mo",1,"early","1"
155,101793,102765,NA,0,NA,NA,NA,NA,0.6,5,81.2,6,3.4,107,"Hard",5,"Mo",1,"early","0"
156,103714,102024,0.5,2,75.5,2,3,91.5,NA,0,NA,NA,NA,NA,"Hard",5,"Mo",1,"early","1"
157,102831,102966,0,2,98,2,2,106.5,0.5,2,46.5,7,0,58.5,"Hard",5,"Mo",1,"early","0"
158,103031,102271,NA,0,NA,NA,NA,NA,0.333333333333333,3,75,4.33333333333333,1.66666666666667,89.3333333333333,"Hard",5,"Mo",1,"early","0"
159,102238,102950,0,2,48,0,3,56.5,0,2,72.5,1.5,5,80,"Hard",5,"Mo",1,"early","0"
160,101647,101774,0,2,87.5,2.5,3,111.5,0.5,2,83,13,5,94.5,"Hard",5,"Mo",1,"early","0"
161,101948,101885,NA,0,NA,NA,NA,NA,0,1,103,26,2,115,"Hard",5,"Mo",1,"early","1"
162,102205,102025,NA,0,NA,NA,NA,NA,0.666666666666667,3,70,4,0.333333333333333,86.6666666666667,"Hard",5,"Mo",1,"early","0"
